,users,text,favorite_count,retweet_count,created_at
0,VancityReynolds,@StatmanDave 🇨🇦,1132,10,2023-01-07 22:23:09+00:00
1,VancityReynolds,@brfootball @EmiratesFACup ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️,2963,58,2023-01-07 21:59:52+00:00
2,VancityReynolds,@TheSportsman @RMcElhenney @SimonLSport You guys sorta called this one!,649,9,2023-01-07 19:51:44+00:00
3,VancityReynolds,I’m completely and totally speechless. What a club. What a town. What a win. @Wrexham_AFC forever. https://t.co/9SzQUAVAX2,51672,1926,2023-01-07 19:51:12+00:00
4,VancityReynolds,"In just 5 minutes, you can watch @Wrexham_AFC play live on ESPN+! Coventry is three leagues above us so it’s our favorite position: underdogs. https://t.co/KmDf68kQJa",8564,288,2023-01-07 17:23:36+00:00
5,VancityReynolds,"@jordandavies98 Massive congrats to you and Kelsey, Jordan!!!! Love this. ❤️❤️❤️",2339,8,2023-01-06 19:24:04+00:00
6,VancityReynolds,@kissottawa @SandraKiss1053 I suspect that wasn’t the first time,1216,12,2023-01-06 13:35:35+00:00
7,VancityReynolds,"@MintMilana Thank you @MintMilana! While the brand spokesperson secret code (of course) requires that I’d never ask you to switch, I can unequivocally say you’d be the best pitch-person Mint ever had.",1233,16,2023-01-05 18:10:51+00:00
8,VancityReynolds,@Friedesigns @ian_mendes @ctalbot33 @Senators ⚔️🏒⚔️,797,16,2023-01-05 00:22:16+00:00
9,VancityReynolds,Jacques Plante would be proud as hell. https://t.co/lgS6QkQHYe,4812,230,2023-01-04 22:34:26+00:00
10,VancityReynolds,@ctalbot33 @Friedesigns I think we both just got a new mask. And this one is a tad more breathable.,3692,65,2023-01-04 22:26:33+00:00
11,VancityReynolds,"Also “Wolverine and Deadpool”, bub?",19494,627,2023-01-04 15:03:48+00:00
12,VancityReynolds,Disagree. I think the deepfakes that sung and danced for Will and I would love to perform at the Oscars. https://t.co/tjI8NwfdKc,26579,1143,2023-01-04 14:48:19+00:00
13,VancityReynolds,"Don’t forget to stream @Wrexham_AFC v @SolihullMoors 
Tomorrow morning at 10am ET! Details ⬇️⬇️ https://t.co/AaHXYaFLrO",2398,111,2023-01-01 22:47:33+00:00
14,VancityReynolds,@ii_seeker @58sevs Travel to #wrexham. You won’t regret it. It’s surrounded by Wales.  You can’t go wrong.,1132,73,2023-01-01 22:38:45+00:00
15,VancityReynolds,@Kalelismyhero @Mintmobile Exactly how it should be. 💚💚💚,42,0,2023-01-01 18:37:04+00:00
16,VancityReynolds,I love this company and I love our customers… 💚💚💚 @Mintmobile https://t.co/JPCU4RMZrq,3010,95,2023-01-01 18:10:20+00:00
17,VancityReynolds,#Committed https://t.co/LO39j7AASg,2941,66,2022-12-30 18:25:06+00:00
